,"car","area","uf","mun","modulo_fiscal","tipo_imovel","situacao","condicao",,,
"-----------------------------------------------------------------------------------------------------------------",,,,,,,,,,,
,"MG-3109006-894A04C4EC204639A99B43810ECDF68C","8.2579","MG","Brumadinho","0.4129","IRU","AT","Aguardando","analise",,
,"MG-3109006-44D93118B5D04511A540ACFB6971E814","0.7681","MG","Brumadinho","0.0384","IRU","AT","Aguardando","análise",,
,"MG-3109006-0F2BDC40CD934E5C9EB1553277601BC5","3.0570","MG","Brumadinho","0.1529","IRU","AT","Aguardando","análise",,
,"MG-3109006-C653487521674A83AE1D61348C1B6496","9.9523","MG","Brumadinho","0.4976","IRU","AT","Aguardando","análise",,
,"MG-3109006-55991A51B2CB47F8B3B7ABCE852D8CA6","14.6502","MG","Brumadinho","0.7300","IRU","AT","Aguardando","análise",,
,"MG-3109006-DB9846107DCA49FF9A7F4720330D9482","1.6195","MG","Brumadinho","0.0810","IRU","AT","Aguardando","análise",,
,"MG-3109006-69F0EDA8A93445FC86589F5A312EBBB9","20.0811","MG","Brumadinho","1.0041","IRU","AT","Aguardando","analise",,
,"MG-3109006-F067FBDBFCBB4CEBA682704F4523936C","2.3619","MG","Brumadinho","0.1181","IRU","AT","Aguardando","analise",,
,"MG-3109006-37A5F216E62144CF9E5F0D022A680D3D","0.3910","MG","Brumadinho","0.0195","IRU","AT","Aguardando","análise",,
,"MG-3109006-D98A048E0740440BAF83FE609D8F9B90","0.8270","MG","Brumadinho","0.0400","IRU","AT","Aguardando","análise",,
,"MG-3109006-9CAB7587D2D44D6CA5A7E1F221042D3D","4.7262","MG","Brumadinho","0.2363","IRU","AT","Aguardando","análise",,
,"MG-3109006-33AF180FC80C473E8D7410BEAD51F283","2.0000","MG","Brumadinho","0.1000","IRU","AT","Aguardando","análise",,
,"MG-3109006-DDFEA18AD6C2438086C23B3188BB06C4","0.2492","MG","Brumadinho","0.0125","IRU","AT","Aguardando","análise",,
,"MG-3109006-C2B497449FC849499CEB4FE414A139DB","1.8471","MG","Brumadinho","0.0924","IRU","AT","Aguardando","analise",,
,"MG-3109006-46845EBC388B4C29BBF298C11461255F","2.4686","MG","Brumadinho","0.1234","IRU","AT","Aguardando","analise",,
,"MG-3109006-BAF9C48683454A06A6AA545CD63174A8","1.9762","MG","Brumadinho","0.1000","IRU","AT","Aguardando","análise",,
,"MG-3109006-C8DBDF5357AE4D64B78F214E90D94D5F","4.6053","MG","Brumadinho","0.2300","IRU","AT","Aguardando","análise",,
,"MG-3109006-360B9EA3E27D43E6AC55377B0285017A","27.7634","MG","Brumadinho","1.3882","IRU","AT","Aguardando","analise",,
