Ano;Mês;Empresa;CNPJ;Porte da Prestadora;UF;Município;Código IBGE Município;Tecnologia;Acessos
2019;3;CORREA SAT TELECOMUNICAÇÕES LTDA - ME;12313783000142;Pequeno Porte;RJ;Cachoeiras de Macacu;3300803;TVC;851
2019;3;RBC - REDE BRASILEIRA DE COMUNICAÇÃO LTDA.;01766744000184;Pequeno Porte;MG;Unaí;3170404;TVC;887
2019;3;RBC - REDE BRASILEIRA DE COMUNICAÇÃO LTDA.;01766744000184;Pequeno Porte;MG;Pouso Alegre;3152501;TVC;355
2019;3;RBC - REDE BRASILEIRA DE COMUNICAÇÃO LTDA.;01766744000184;Pequeno Porte;MG;Montes Claros;3143302;TVC;14847
2019;3;RBC - REDE BRASILEIRA DE COMUNICAÇÃO LTDA.;01766744000184;Pequeno Porte;MG;Itaúna;3133808;TVC;631
2019;3;RBC - REDE BRASILEIRA DE COMUNICAÇÃO LTDA.;01766744000184;Pequeno Porte;MG;Passos;3147907;TVC;274
2019;3;RBC - REDE BRASILEIRA DE COMUNICAÇÃO LTDA.;01766744000184;Pequeno Porte;MG;Divinópolis;3122306;TVC;4548
2019;3;RBC - REDE BRASILEIRA DE COMUNICAÇÃO LTDA.;01766744000184;Pequeno Porte;MG;Itajubá;3132404;TVC;1923
2019;3;RBC - REDE BRASILEIRA DE COMUNICAÇÃO LTDA.;01766744000184;Pequeno Porte;MG;Lavras;3138203;TVC;1254
2019;3;RF TV CABO MIX LTDA;09107164000197;Pequeno Porte;SP;Itatiba;3523404;TVC;318
2019;3;SISTEMA OESTE DE COMUNICAÇÃO LTDA;00713377000198;Pequeno Porte;RN;Mossoró;2408003;TVC;13462
2019;3;RF TV A CABO LTDA;07812807000178;Pequeno Porte;SP;Avaré;3504503;TVC;478
2019;3;BRASREDE TELECOMUNICACOES LTDA - EPP;05896206000165;Pequeno Porte;RS;Arroio do Meio;4301008;TVC;606
2019;3;J E J TV POR ASSINATURA LTDA - ME;03425449000190;Pequeno Porte;ES;Nova Venécia;3203908;MMDS;243
2019;3;ITNET LTDA - ME;04690098000107;Pequeno Porte;SE;Itabaiana;2802908;FTTH;24
2019;3;LINCA TELECOMUNICACOES LTDA;03376788000123;Pequeno Porte;PR;Foz do Iguaçu;4108304;TVC;1131
2019;3;FONELIGHT TELECOMUNICACOES S.A.;02089242000129;Pequeno Porte;MG;Varginha;3170701;DTH;868
2019;3;ALEGRA TELECOMUNICACOES DO BRASIL LTDA;10716128000100;Pequeno Porte;SP;São João da Boa Vista;3549102;TVC;2510
2019;3;GIGA TV EIRELI - EPP;07070704000180;Pequeno Porte;SP;Ourinhos;3534708;TVC;2782
2019;3;GABISAT SERVICOS DE TV A CABO E TELECOMUNICACOES EM GERAL LTDA ME;07025721000103;Pequeno Porte;RJ;Cabo Frio;3300704;TVC;1997
2019;3;VIVO;02558157000162;Grande Porte;SP;Mariápolis;3528908;DTH;5
2019;3;VIVO;02558157000162;Grande Porte;ES;Cachoeiro de Itapemirim;3201209;DTH;802
2019;3;VIVO;02558157000162;Grande Porte;PR;Paiçandu;4117503;DTH;190
2019;3;VIVO;02558157000162;Grande Porte;SP;Valinhos;3556206;DTH;402
2019;3;VIVO;02558157000162;Grande Porte;SP;Parisi;3536257;DTH;6
2019;3;VIVO;02558157000162;Grande Porte;SP;Barão de Antonina;3505005;DTH;8
2019;3;VIVO;02558157000162;Grande Porte;SP;Palestina;3535002;DTH;35
2019;3;VIVO;02558157000162;Grande Porte;SP;Taquaritinga;3553708;DTH;336
2019;3;VIVO;02558157000162;Grande Porte;SP;Ocauçu;3533700;DTH;13
2019;3;VIVO;02558157000162;Grande Porte;SP;Ubarana;3555356;DTH;5
2019;3;VIVO;02558157000162;Grande Porte;SP;Jumirim;3525854;DTH;18
2019;3;VIVO;02558157000162;Grande Porte;PR;Quatro Barras;4120804;DTH;292
2019;3;VIVO;02558157000162;Grande Porte;SP;Tabapuã;3552601;DTH;39
2019;3;VIVO;02558157000162;Grande Porte;SP;Ribeirão Branco;3543006;DTH;5
2019;3;VIVO;02558157000162;Grande Porte;BA;Feira de Santana;2910800;DTH;2951
2019;3;VIVO;02558157000162;Grande Porte;RS;Santa Maria;4316907;DTH;4082
2019;3;VIVO;02558157000162;Grande Porte;SP;Pedranópolis;3536901;DTH;2
2019;3;VIVO;02558157000162;Grande Porte;SP;Regente Feijó;3542404;DTH;37
2019;3;VIVO;02558157000162;Grande Porte;MG;Betim;3106705;DTH;2007
2019;3;VIVO;02558157000162;Grande Porte;SP;Olímpia;3533908;DTH;253
