Ano;Mês;Empresa;CNPJ;Porte da Prestadora;UF;Município;Código IBGE Município;Tecnologia;Acessos
2019;6;CORREA SAT TELECOMUNICAÇÕES LTDA - ME;12313783000142;Pequeno Porte;RJ;Cachoeiras de Macacu;3300803;TVC;835
2019;6;RBC - REDE BRASILEIRA DE COMUNICAÇÃO LTDA.;01766744000184;Pequeno Porte;MG;Montes Claros;3143302;TVC;14484
2019;6;RBC - REDE BRASILEIRA DE COMUNICAÇÃO LTDA.;01766744000184;Pequeno Porte;MG;Pouso Alegre;3152501;TVC;309
2019;6;RBC - REDE BRASILEIRA DE COMUNICAÇÃO LTDA.;01766744000184;Pequeno Porte;MG;Unaí;3170404;TVC;802
2019;6;RBC - REDE BRASILEIRA DE COMUNICAÇÃO LTDA.;01766744000184;Pequeno Porte;MG;Divinópolis;3122306;TVC;4188
2019;6;RBC - REDE BRASILEIRA DE COMUNICAÇÃO LTDA.;01766744000184;Pequeno Porte;MG;Lavras;3138203;TVC;1170
2019;6;RBC - REDE BRASILEIRA DE COMUNICAÇÃO LTDA.;01766744000184;Pequeno Porte;MG;Passos;3147907;TVC;232
2019;6;RBC - REDE BRASILEIRA DE COMUNICAÇÃO LTDA.;01766744000184;Pequeno Porte;MG;Itajubá;3132404;TVC;1855
2019;6;RBC - REDE BRASILEIRA DE COMUNICAÇÃO LTDA.;01766744000184;Pequeno Porte;MG;Itaúna;3133808;TVC;557
2019;6;RF TV CABO MIX LTDA;09107164000197;Pequeno Porte;SP;Itatiba;3523404;TVC;316
2019;6;SISTEMA OESTE DE COMUNICAÇÃO LTDA;00713377000198;Pequeno Porte;RN;Mossoró;2408003;TVC;13160
2019;6;RF TV A CABO LTDA;07812807000178;Pequeno Porte;SP;Avaré;3504503;TVC;474
2019;6;BRASREDE TELECOMUNICACOES LTDA - EPP;05896206000165;Pequeno Porte;RS;Arroio do Meio;4301008;TVC;604
